origin_lat,origin_lng,dest_lat,dest_lng,encoded_points
41.9066673079851,-87.6895820096025,41.9047421591285,-87.7018836562075,u{w~FxzevOpJI@rFHz`@BtCL?F|A}@Z]pAk@rAIj@?XN^BZ?NU~@M\QXIPEn@Hd@P\HCHG@H@LELJXCDa@zAH@F@VJBDLX?L?HK\JDH@j@AT@Pl@
41.9066673079851,-87.6895820096025,41.9067070904476,-87.6846857728006,u{w~FxzevOF?A{BAsFGoJCsF
41.9066673079851,-87.6895820096025,41.9060233934322,-87.6753102573397,u{w~FxzevOF?A{BAsFGoJGgNAqFlGGKkRAqICSAuBA_FGBGW_AkA
41.9066673079851,-87.6895820096025,41.8995065454147,-87.6796003361319,u{w~FxzevO`VQxDAjDEvDGvDACyNKeQI}VCkB
41.9066673079851,-87.6895820096025,41.9079977707552,-87.6945344157626,u{w~FxzevOF?A{BmJJBhNDbN?xBrA?
41.9066673079851,-87.6895820096025,41.8994455325506,-87.6893191063928,u{w~FxzevO`VQxDAjDEvDGdD?
41.9066673079851,-87.6895820096025,41.9005601306738,-87.6941970241723,u{w~FxzevO`VQ`BA?p@?nCBrQ@`ExACpDAnBC
41.9066673079851,-87.6895820096025,41.915707546922,-87.6995963561921,u{w~FxzevOF?A{BmJJgGF?xBBtF@pFyA?mB@kGFmCB}CB{IBiAB@tF@vFBfN@jN
41.9066673079851,-87.6895820096025,41.9119700419153,-87.683636524973,u{w~FxzevOF?A{BAsFGoJGgN{RTwD@cFF
41.9066673079851,-87.6895820096025,41.9121612670864,-87.6897092167478,u{w~FxzevOF?A{BmJJgGF?_CoBB_JH?xB?zBI?
41.9066673079851,-87.6895820096025,41.8996698963096,-87.6698374693742,u{w~FxzevO`VQEkII{UOw]KmOKmVGiQzROzAA
41.9066673079851,-87.6895820096025,41.9121171994212,-87.6945993685796,u{w~FxzevOF?A{BmJJgGF?xBBtF@pFyA?mB@kGFDnJ?vBI@
41.9066673079851,-87.6895820096025,41.9083759393656,-87.670937488585,u{w~FxzevOF?A{BAsFGoJGgNAqFlGGKkRAqICSAuBA_FGBGWwBmC_HkI|@aBAGEKEEa@G@aBmA??qCAiCmA@@hA
41.9066673079851,-87.6895820096025,41.9293311773652,-87.7119813661754,u{w~FxzevOF?A{BmJJgGF?xBBtF@pFyA?mB@kGFmCB}CB{IBiDBoDH_B@@pIDhKBtHBxEBhNFvUBhP@bHiB@aGJmJJsB??dCuNNBfH?~CiBBgBD_PH{GF
41.9066673079851,-87.6895820096025,41.9061889857839,-87.7339951274082,u{w~FxzevOpJI@rFHz`@BtCL?F|A}@Z]pAk@rAIj@?XN^BZ?NU~@M\QXIPEn@Hd@P\HCHG@H@LELJXCDa@zAH@F@VJBDLX?L?HK\JDH@j@AT@T|@Jz@DpA?hAGr@GZYz@PRFp@?TUzAGdAA|BLfAL`AB\?fAHA@~B?fJFfRHvU?tCFxX?xB~@AcElNsCvJqAdEHl@BrF@pFFlJBlJDjD
41.9066673079851,-87.6895820096025,41.8994219493757,-87.6844900067498,u{w~FxzevO`VQEkICgGC_KzDE|LK|A?
